coupling	duration	background	oracle_E	independent_E	mc_E	mc_SE	oracle_FPR	independent_FPR	oracle_power	independent_raw_power
0.0	0.1	same_stable	0.00917465761192517	0.009174657611925168	0.00903	0.00029914124733118727	0.014542596961361775	0.014542596961361775	0.0365637986523386	0.0365637986523386
0.0	0.1	same_mismatched	0.00746889738315038	0.007468897383150376	0.00725	0.0002686542327062194	0.009864452722874386	0.009864452722874386	0.02934202290192647	0.02934202290192647
0.0	0.1	different_parents	0.00787632057196668	0.007876320571966678	0.0082	0.0002858818239835699	0.010817297395584579	0.010817297395584579	0.02991747354043841	0.02991747354043841
0.0	0.5	same_stable	0.12741097108704103	0.12741097108704105	0.12713	0.0010825393064057762	0.038711601743935446	0.038711601743935446	0.25380236094636416	0.25380236094636416
0.0	0.5	same_mismatched	0.10783684877402602	0.10783684877402601	0.10708	0.0010031693772678645	0.01911409869988881	0.01911409869988881	0.18899004232313285	0.18899004232313285
0.0	0.5	different_parents	0.10532052119388428	0.10532052119388428	0.10498	0.000983769116214135	0.01589162434979136	0.01589162434979136	0.19482977782661118	0.19482977782661118
0.0	1.5	same_stable	0.36506396411553255	0.36506396411553244	0.36745	0.0017220727715013388	0.047905674790072385	0.047905674790072385	0.6487784398670102	0.6487784398670102
0.0	1.5	same_mismatched	0.3263811670204738	0.3263811670204739	0.32332	0.001644952532655075	0.022245391701625858	0.022245391701625858	0.5451771279211852	0.5451771279211852
0.0	1.5	different_parents	0.27938148875212154	0.27938148875212143	0.27874	0.0015005541111957296	0.03955459744486183	0.03955459744486183	0.8128224766953269	0.8128224766953269
0.8	0.1	same_stable	0.004380859172934911	0.008416120939466447	0.00424	0.00020547663177710026	0.0036519403288437107	0.0036519403288437107	0.01023220771164919	0.01023220771164919
0.8	0.1	same_mismatched	0.01124784959986109	0.0065602858401114005	0.01134	0.0003348360272605854	0.021200219120459555	0.021200219120459555	0.04508017547397679	0.04508017547397679
0.8	0.1	different_parents	0.006389863181072405	0.007166997952027816	0.00654	0.0002552899052633247	0.007292061950461113	0.007292061950461113	0.0186878949865751	0.0186878949865751
0.8	0.5	same_stable	0.07425080900486054	0.12050217712117899	0.07555	0.0008700744481338667	0.017893220319879718	0.004220195767767606	0.1493709862932479	0.06332527233170696
0.8	0.5	same_mismatched	0.1414810158946056	0.09811659342086576	0.14219	0.00113134116796322	0.019046031955564292	0.14690054081493054	0.14364372534002778	0.45035503059569304
0.8	0.5	different_parents	0.08656876606791067	0.09904033896051204	0.08595	0.0009030139142567481	0.027677266409166353	0.027677266409166353	0.22357351081250082	0.22357351081250082
0.8	1.5	same_stable	0.28690904260819367	0.3607518590198671	0.28453	0.0016489857435829534	0.028789993796369935	0.012188146591147144	0.5913977065545463	0.4601778143172837
0.8	1.5	same_mismatched	0.3533178480677665	0.3129913096797424	0.35091	0.0016671381204012832	0.03650192321532766	0.07861555833613343	0.5992943714552521	0.722483985885597
0.8	1.5	different_parents	0.24653872813847538	0.27594117018978737	0.24715	0.001470880827906904	0.020911568880169124	0.020911568880169124	0.7218008608053847	0.7218008608053847
1.6	0.1	same_stable	0.0020464926136203507	0.006114650746911077	0.00206	0.00014476799914945213	0.039960919430369474	0.0009522380163056277	0.06876112886937924	0.00298021565682927
1.6	0.1	same_mismatched	0.01913320160285904	0.004578456491442006	0.01904	0.0004321766441705494	0.006346146447577076	0.0555662478239337	0.012569766324495083	0.0850112046381627
1.6	0.1	different_parents	0.005271747378705071	0.00516743143775771	0.0051	0.00022569982145339426	0.005091690982576331	0.005091690982576331	0.012075967708459874	0.012075967708459874
1.6	0.5	same_stable	0.03966773767745236	0.09542116650163937	0.0394	0.0006594548876211988	0.012092194486902616	0.0023017178212536345	0.09748791741610133	0.03447331974940267
1.6	0.5	same_mismatched	0.19630591356911695	0.07452116057951287	0.19613	0.0012825937320394226	0.032434933782168704	0.3547130761327605	0.12954476439259455	0.5849163855306158
1.6	0.5	different_parents	0.06774483351803885	0.07830039803130742	0.06707	0.0008111243617518229	0.04715168063770411	0.011653589316688409	0.24573478051033767	0.11430128151469686
1.6	1.5	same_stable	0.19625020775975832	0.32630214793468953	0.19545	0.0015144358389047393	0.02729331344858678	0.0016017030969718092	0.5236691878777512	0.18939255977278568
1.6	1.5	same_mismatched	0.37388850865457246	0.27264471698214937	0.37424	0.0016943650529709729	0.022624712068671147	0.19584625865682048	0.41716380989320234	0.769361347620714
1.6	1.5	different_parents	0.19800588290110716	0.25174261737111253	0.19792	0.0013871899577778775	0.04691401085320123	0.006781294704252158	0.7320766623070447	0.48369276452090837
