branch_id_1	branch_id_2	omega_left	ocn_left	omega_right	ocn_right	mode
0	3	32.5892	0.5268	32.7461	0.5268	default(auto)
0	5	0.2022	0.1797	0.2039	0.1797	default(auto)
0	8	0.0122	0.0057	0.0122	0.0057	default(auto)
0	9	0.0706	0.0009	0.07	0.0009	default(auto)
0	10	0.2993	0.0003	0.3002	0.0003	default(auto)
0	11	1.5976	2.0493	1.6193	2.0493	default(auto)
0	12	0.1925	0.0012	0.1912	0.0012	default(auto)
0	13	0.0002	0.0	0.0002	0.0	default(auto)
0	14	0.0	0.0	0.0	0.0	default(auto)
0	15	0.0098	0.0001	0.0099	0.0001	default(auto)
0	16	0.0002	0.0	0.0002	0.0	default(auto)
0	17	0.352	0.0432	0.3513	0.0432	default(auto)
0	18	0.626	0.0381	0.6281	0.0381	default(auto)
0	19	0.0009	0.0	0.0009	0.0	default(auto)
0	20	0.0001	0.0	0.0001	0.0	default(auto)
0	21	0.0876	0.0002	0.0861	0.0002	default(auto)
0	22	0.0	0.0	0.0	0.0	default(auto)
0	23	0.0001	0.0	0.0001	0.0	default(auto)
0	24	0.0	0.0	0.0	0.0	default(auto)
0	25	0.0005	0.0003	0.0005	0.0003	default(auto)
0	26	0.0395	0.0006	0.0391	0.0006	default(auto)
0	27	0.0024	0.0	0.0025	0.0	default(auto)
0	28	0.0	0.0	0.0	0.0	default(auto)
0	29	0.0	0.0	0.0	0.0	default(auto)
0	30	12.7163	0.9815	12.6886	0.9815	default(auto)
0	31	0.6319	0.0011	0.6262	0.0011	default(auto)
0	32	0.0007	0.0	0.0007	0.0	default(auto)
0	33	0.7056	0.1966	0.7109	0.1966	default(auto)
0	34	0.0573	0.0001	0.0566	0.0001	default(auto)
0	35	0.1349	0.0008	0.1337	0.0008	default(auto)
0	36	0.0034	0.0009	0.0035	0.0009	default(auto)
0	37	3.1236	0.0477	3.1473	0.0477	default(auto)
0	38	572.3179	0.9119	567.5528	0.9119	default(auto)
0	39	1.0125	0.5314	1.0227	0.5314	default(auto)
0	40	12.4587	0.2498	12.4104	0.2498	default(auto)
0	41	0.0	0.0	0.0	0.0	default(auto)
0	42	1.0293	0.0001	1.0233	0.0001	default(auto)
0	43	602.375	0.0001	601.8559	0.0001	default(auto)
0	44	0.0014	0.0	0.0014	0.0	default(auto)
0	45	0.0009	0.0001	0.0009	0.0001	default(auto)
0	46	35.3838	0.9513	35.0605	0.9513	default(auto)
0	47	0.0327	0.0001	0.0324	0.0001	default(auto)
0	48	2.5604	0.0633	2.5366	0.0633	default(auto)
0	49	2.5763	0.7658	2.5711	0.7658	default(auto)
0	50	2.4379	0.246	2.4197	0.246	default(auto)
0	51	0.3407	0.0495	0.3427	0.0495	default(auto)
0	52	7.5115	0.2391	7.4535	0.2391	default(auto)
0	53	0.0023	0.0007	0.0023	0.0007	default(auto)
0	54	0.2477	0.2063	0.2492	0.2063	default(auto)
0	55	13.4546	0.0283	13.3555	0.0283	default(auto)
0	56	0.0002	0.0001	0.0002	0.0001	default(auto)
0	57	0.0426	0.0001	0.0421	0.0001	default(auto)
0	58	0.0041	0.0005	0.0041	0.0005	default(auto)
0	59	0.912	0.4369	0.9138	0.4369	default(auto)
0	60	0.4696	0.2367	0.4758	0.2367	default(auto)
0	61	0.0004	0.0	0.0004	0.0	default(auto)
0	62	21.4242	0.9933	21.497	0.9933	default(auto)
0	63	0.2013	0.0109	0.2017	0.0109	default(auto)
0	64	12.9667	0.9942	12.8757	0.9942	default(auto)
0	65	0.0	0.0	0.0	0.0	default(auto)
0	66	0.0009	0.0	0.0009	0.0	default(auto)
0	67	0.1763	0.0103	0.1768	0.0103	default(auto)
