branch_id_1	branch_id_2	branch_id_3	branch_id_4	OCNany2spe	ECNany2spe	OCSany2spe	ECSany2spe	omegaCany2spe
1	26	33	35	2.814545670294215	0.00012005546385992286	3.336445806136963e-12	0.002979545796095299	inf
1	26	33	40	2.9036264605591615	4.218913253558273e-05	4.4867240636666514e-10	0.0009153878695511549	inf
1	26	33	102	2.5750698275614927	3.488840621884038e-05	7.173063998254e-07	0.000840032586818779	86436924.89348231
1	26	35	40	2.898370474743339	3.563758871840358e-05	2.7138473865809996e-10	0.0007754156593041618	inf
1	26	35	102	2.5707635254073375	2.9891666755746073e-05	1.3338738133845938e-10	0.0007410464141712614	inf
1	26	35	124	2.2708537185893114	2.512145735532884e-05	9.52897567266776e-10	0.00031131404819452686	inf
1	26	40	102	2.64776493704277	1.0816523748442536e-05	2.7611648665028187e-11	0.00023783599771946902	inf
1	33	35	40	2.8169580207763425	2.6791898619986323e-05	9.756135732786727e-10	0.0006647491864825854	inf
1	33	35	102	2.5025775131905386	2.248893089698679e-05	5.556251141588549e-08	0.0006247891670732702	1251325662.5817707
1	33	40	102	2.5770055078557457	1.6593893533821652e-05	5.162808396655496e-06	0.00041743757688607276	12556615.058692843
1	35	40	102	2.572198375004665	6.861559103077473e-06	2.579287623223218e-10	0.00018030077748608072	inf
5	26	35	124	2.3447885450498105	6.782818107461751e-05	0.007511672583539919	0.0008259564085083179	3801.141092860593
25	26	35	89	2.3057129272079804	0.001096807025140995	0.0006958532954124331	0.020075308152948924	60648.4272417611
25	35	89	108	2.844885839358701	0.0018913599507451547	0.014853331560372019	0.030124640394497592	3050.6237749116626
26	33	35	40	4.764846905232771	9.480929812768171e-05	4.93666737398163e-13	0.002354861488925019	inf
26	33	35	102	2.5018790538043763	7.60139762104731e-05	0.00022507656944754538	0.0021103167757104825	308595.9518547362
26	33	40	102	2.5762179409899044	2.6688606864697938e-05	2.9545043762804614e-09	0.0006698862214163262	21886338077.638824
26	35	40	102	2.571455012588809	2.30063476372608e-05	4.095104331868873e-10	0.000548221561724684	inf
26	35	40	124	2.409770806909095	1.96249952593263e-05	4.3276760061980235e-10	0.0002473787862161984	inf
33	35	40	102	2.5036797907989916	1.7268877674788344e-05	5.548291254394529e-10	0.00047584775300327974	inf
